,hash,smiles,pValue
17,d0b28b5e7d6da3d72c1311b25fe6f256944fb472,OC(=O)c1ccc(NC(=O)c2ccc3OCOc3c2)cc1,5.386598264070049
19,7456bd7968867b1e75d66e0243dd8bcaae2de4a0,CN(C)c1ccc(NC(=O)Nc2ccccc2Cl)cc1,5.65509035728914
28,e4317fd6e6522550cf48db1ed65d3d15d28ec964,Cc1ccc2nc(NC(=O)c3ccccc3C)sc2c1,5.38212430351742
33,f00a04dc736595bf53b8f4c86ef27d811f7bee87,Cc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)Nc1ccc(Cl)cc1,5.697530508347398
60,0572c550c9319601d981373a916555021131d497,CC1CCC(CC1)NC(=O)c1cc(Cl)cc(Cl)c1,5.2084167947964115
71,d79ec5734f73b79a2a5f440386b167215c1c4723,Oc1ccc(cc1)-c1nc2ccc(Cl)cc2s1,5.361283465683526
73,b02abc286aaffdc8340e54d0591d8e8657bfdd99,Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCc3ccccc23)c1,5.574604219105315
104,0ecbd4bfb0fbb0924741a7c658db3fbf59bd304f,CC(=O)c1ccc(NC(=O)Nc2ccc(C)c(C)c2)cc1,5.366543551764178
105,79659d94473e44d5cb0c5d137bcd1cd7cebd59bd,CC(C)(C)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,5.074750824240828
109,577b7027b54721b542b3a975f5562c0c80614d2c,COc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1,5.181717808043833
110,456e1ad5601e61f6460be58b36858750ba312948,CC(C)C(=O)N1CCN(Cc2c(F)cccc2Cl)CC1,5.147763550303763
130,ce7f3fee0c25f9bde468a39af3b989bd5ccc5574,CN(C)C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(F)cc1,5.466378696247048
146,ee543d0f67b53a71c9f1173f393f7fb26a2bfdc6,Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCCC2)c1,5.437351929985039
193,aa086155024d40e9648d43d13a1c37cbaee50df5,CC(C)(C)c1ccc(NC(=O)c2ccccc2)cc1,4.929918641926708
204,f4701cb42c2ba42f40a837189e362c66e70694b4,CC(=O)NCCc1c[nH]c2ccccc12,5.406347759412497
210,86aa8061575308e7ca40333e59b89459d2cf042b,OC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,5.097070566966953
221,f74dfddf36bef9b78ea74b74e2af31c31b94e7f9,COc1ccc(cc1)-c1nc(no1)-c1ccccn1,5.244173880622232
230,fa4f9d45404b7e978e5661cf34768c8d1fa6fecd,CN(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,5.031486261796447
231,492c35222b1b9f1cb72d3509fe55d2f0678d83ab,Oc1ccc(cc1)-c1nc2cc(Cl)ccc2s1,5.377719066657354
235,42176b7cf0533372e27fe0c9619be6d6c332a672,COc1ccccc1C(=O)NCC1CCN(CC1)C(=O)c1cccs1,5.475671700168998
240,3417f68e6fbaa2150acae6288067860444a6400a,Cc1ccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCC2)cc1C,5.947021357760528
245,e999d127aea03f65aeb6c48a0410d3aa49ea86e7,CC1CCN(CC1)S(=O)(=O)c1ccc(NC(=O)Nc2ccccc2)cc1,5.847369079817256
248,f50fe211b2e92ba5e3ec11d4fd771116337c066c,Cc1ccccc1NC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,5.93828513746221
251,1d898c6cfbf3f4a025b81d325f1f6092d62d7e11,COc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(O)=O,5.47757163582858
263,dfde8af430679c736e56733c8fbf99452a979cf4,Oc1ccc(cc1)C(=O)Nc1ccc(Cl)cc1,5.197128818106985
269,e24b249490574b438baaeede498fa4c66d603198,CC(C)c1ccc(cc1)S(=O)(=O)Nc1c(C)cccc1C,5.621510161830835
282,11880e622062975e8e9b5525939b5c4b0948c703,COc1ccc(cc1)C(=O)Nc1ccc(Oc2nc3ccccc3[nH]2)cc1,5.568233871568035
284,3124bcb6a7cfbe2aa23c891de59c684d87eb6085,Cc1cccc(NC(=O)Nc2ccc(cc2)S(=O)(=O)N2CCCCC2)c1,5.892304220882794
306,8760da6b6c8744e66b72747379746a355c71ad23,COc1ccc(cc1)C(=O)Nc1cccc(NC(=O)c2ccc(Cl)cc2)c1,5.175984956698817
311,533b24d10e0fb1d4f01557731d31bba35eaa4708,CN(C)CCNC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,4.945452848453262
314,dd145816b1c0abb0629e1a26a1bd3d6c2783cc2b,CC(C)c1ccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCCCC2)cc1,5.749280458778255
316,18b4ca3804c94fc9070993b6bfab840e4dcf1374,Cc1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC(=O)C2CCCCC2)cc1,5.6649323292186935
318,7bb2033c03938b96f04d9afba887bb3fada36b13,O=C(Nc1ccc(cc1)S(=O)(=O)N1CCCCC1)N1CCCC1,5.867091444331321
319,388ab1f72d8198ee3d895372aac914b01effc493,CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccc3OCOc3c2)cc1,5.676482829193133
331,601621f170e74c2c7bc4e7e36e65558981610aed,COc1ccc(CCNC(=O)c2ccc(CN3CCCC3)cc2)cc1OC,5.190564983879476
343,9c1e4efec58cd7818907735522c22349b10b05df,Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCCC2)c1,5.397074031094899
354,aff5d8d0dd525b0c0252d067fe51f4d408a803ec,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1,5.405938311892651
362,cc62bd7470ab1e60f5d434c706bfe5f2d5d1758a,COc1cccc(c1)C(=O)Nc1c2CCCc2nc2ccccc12,5.4652232920622135
366,b66929343838106eb8e70337893ec6f38e578cd7,COc1cc(cc(OC)c1OC)C(=O)Nc1c(C)cccc1C,5.7832263592863535
369,2056c4ae1ea79e44aadf99baecc6bfac301bf0a4,CN(C)C(=O)Oc1c(Cl)cccc1Oc1ccccc1,5.222797125526653
377,b76545786c318d053e8f71470425c4497d6a285c,COc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1ccc(OC)c(OC)c1,5.430408685021921
400,69b411faf936ccb6bb355660686df35a944472cc,COc1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1,5.520210505999389
401,d32e48607a9a3c495c0ff0ae19e0d7c7b70f1500,Cc1cc(C)n2nc(nc2n1)-c1ccccc1,5.119563336427522
403,30a73d8b3d172478ea64cd9171ca55aa9d6aeb1a,Cc1ccc(cc1C)S(=O)(=O)Nc1ccc2oc(nc2c1)-c1ccccc1,5.987431852610538
448,e71716d648b9d7e77d34eeaf4cb49e2e6196ebcc,Cc1ccc(NC(=O)c2ccc(cc2)S(=O)(=O)N2CCc3ccccc3C2)cc1,5.870731120797464
468,ed0d55169f7e793fdc69cac6f25b9262ba55d189,Oc1ccc(cc1)-c1nc2cc(F)ccc2o1,5.316504324655743
470,f0ad40658433a453d23445e0e93d5197b3a94b20,CC(C)C(=O)N1CCN(Cc2ccccc2)CC1,4.963829139662212
478,5be03bedb1df6e7ba52872f815b6e82ee900aaa2,COc1ccc(cc1)-c1cc(nc(C)n1)-c1ccccc1,4.824079842854688
488,0ccd0cbc5b189449c8e418101a13079adffe9a9d,CC(=O)N1CCN(CC1)C(=O)Nc1ccc(Cl)cc1C,5.213945496742909
500,9f36dc0ca3e157d1aa96ca5702c22e1f80c5e1c5,CC(C)c1ccc(NC(=O)C2CCN(CC2)S(=O)(=O)c2ccc(Cl)cc2)cc1,5.792373531936602
501,f59e9642598f203a74b96640859a695673b110d8,Cc1cccc(c1)C(=O)Nc1c(Cl)cccc1Cl,5.118659968140603
